company,url,comapanyFounded,comapnyFounder,companyCEO,companyHQ,International address,Indian address,e-mail,Contact number,Twitter Handle,ISS World,Surveillance products and solutions,Internet monitoring,Data mining and profiling,Phone monitoring,Speech analysis/Voice recognition,Face recognition,Location monitoring,Analytics,Visual surveillance,Aerial surveillance,Biometric (access control) systems,Customers,Compliance with lawful interception standards and regulations,Certification,Privacy Policy,productThreat,clientThreat,notes 
ClearTrail Technologies,http://www.clear-trail.com/,Over 10 years ago,,MIKE SOENEN,"Indore, India",,"UPPER GROUND FLOOR
INDUSTRY HOUSE
15 PALASIA
A. B. ROAD
INDORE
INDIA",info@clear-trail.com,00 91 731 4269100,,"ISS WORLD 2008 EUROPE, ISS World 2013","Internet Monitoring Suite: ComTrail, xTrail, QuickTrail, mTrail, Astra","(1) ComTrail: Mass Monitoring of IP and Voice Networks: ComTrail is deployed within a service provider network and its 
monitoring function correlates voice and data intercepts across diverse 
networks to provide a comprehensive intelligence picture. ComTrail 
supports the capture, record and replay of a variety of Voice and IP 
communications in pretty much any type of communication, including - but not limited to- Gmail, Yahoo, Hotmail, BlackBerry, ICQ and GSM voice calls. ComTrail intercepts data from any type of network 
-whether Wireless, packet data, Wire line or VoIP networks- and can 
decode hundreds of protocols and P2P applications, including HTTP, 
Instant Messengers, Web-mails, VoIP Calls and MMS. Doubles up as Targeted Monitoring System. (2) xTrail: Targeted IP Monitoring: xTrail
 is a solution for interception, decoding and analysis of high speed 
data traffic over IP networks and independently monitors ISPs/GPRS and 
3G networks. xTrail has been designed in such a way that it can be 
deployed within minutes and enables law enforcement agencies to 
intercept and monitor targeted communications without degrading the 
service quality of the IP network. This product is capable of 
intercepting all types of networks -including wireline, wireless, cable,
 VoIP and VSAT networks- and acts as a black box for “record and replay”
 targeted Internet communications.
Interestingly enough, xTrail can filter based on a 
“pure keyword”, a URL/Domain with a keyword, an IP address, a mobile 
number or even with just a user identity, such as an email ID, chat ID 
or VoIP ID. Furthermore, xTrail can be integrated with link analysis 
tools and can export data in a digital format which can allegedly be 
presented in court as evidence.Stand-alone solution for interception, decoding and analysis of multi Gigabit IP traffic. Easily integrates with any existing centralized monitoring system for extended coverage. (3) QuickTrail: Tactical Wi-Fi Monitoring: QuickTrail
 is a device which is designed to gather intelligence from public 
Internet networks, when a target is operating from a cyber cafe, a 
hotel, a university campus or a free Wi-Fi zone. In particular, 
QuickTrail is equipped with multiple monitoring tools and techniques 
that can help intercept almost any wired, Wi-Fi or hybrid Internet 
network so that a target communication can be monitored. QuickTrail can 
be deployed within fractions of seconds to intercept, reconstruct, 
replay and analyze email, chat, VoIP and other Internet activities of a 
target. This device supports real time monitoring and wiretapping of 
Ethernet LANs.
According to ClearTrail’s brochure, QuickTrail is a 
“all-in-one” device which can intercept secured communications, know 
passwords with c-Jack attack, alert on activities of a target, support 
active and passive interception of Wi-Fi and wired LAN and capture, 
reconstruct and replay. It is noteworthy that QuickTrail can identify a 
target machine on the basis of an IP address, MAC ID, machine name, 
activity status and several other parameters. In addition, QuickTrail 
supports protocol decoding, including HTTP, SMTP, POP3 and HTTPS. This 
device also enables the remote and central management of field 
operations at geographically different locations. Hightlights: QuickTrail (1) Intercepts Wi-Fi and wired LANs in five different ways, (2) Breaks WEP, WPA/WPA2 to rip-off secured Wi-Fi networks, (3) Deploys spyware into a target’s machine, (4) Monitor’s Gmail, Yahoo and all other HTTPS-based communications, (5) Reconstructs webmails, chats, VoIP calls, news groups and social networks. (4) Astra: Remote Monitoring and Infection framework: Astra can push bot to any targeted machine sharing the same
 LAN (wired, wi-fi or hybrid). The SEED is a generic bot which can 
identify a target’s location, log keystrokes, capture screen-shots, 
capture Mic, listen to Skype calls, capture webcams and search the 
target’s browsing history. Additionally, the SEED bot can also be 
remotely activated, deactivated or terminated, as and when required. 
Astra allegedly provides an un-traceable reporting mechanism that 
operates without using any proxies, which overrules the possibility of 
getting traced by the target. Highlights: Astra (1) Proactive intelligence gathering, (2) End-to-end remote infection and monitoring framework, (3) Follow the target, beat encryption, listen to in-room conversations, capture keystrokes and screen shots, (4) Designed for centralized management of thousands of targets, (5) A wide range of deployment mechanisms to optimize success ration, (6) Non-traceable, non-detectable delivery mechanism, (7) Intrusive yet stealthy, (8) Easy interface for handling most complex tasks, (9) Successfully tested over the current top 10 anti-virus available in the market, (10) No third party dependencies, (11) Free from any back-door intervention (http://www.wikileaks.org/spyfiles/docs/CLEARTRAIL-2011-Intemonisuit-en.pdf)  ","ComTrail: Instant Analysis across thousands of Terabyte, Equipped to handle millions of communications per day intercepted over high speed STM & Ethernet Links & Correlates Identities across multiple networks (http://www.wikileaks.org/spyfiles/docs/CLEARTRAIL-2011-Intemonisuit-en.pdf)","(1) ComTrail: Mass Monitoring of IP and Voice Networks: ComTrail is deployed within a service provider network and its 
monitoring function correlates voice and data intercepts across diverse 
networks to provide a comprehensive intelligence picture. ComTrail 
supports the capture, record and replay of a variety of Voice and IP 
communications
 in pretty much any type of communication, including - but not limited 
to- Gmail, Yahoo, Hotmail, BlackBerry, ICQ and GSM voice calls. ComTrail intercepts data from any type of network 
-whether Wireless, packet data, Wire line or VoIP networks- and can 
decode hundreds of protocols and P2P applications, including HTTP, 
Instant Messengers, Web-mails, VoIP Calls and MMS. Doubles up as Targeted Monitoring System. (2) mTrail: Off-The-Air Interception: mTrail
 offers active and passive ‘off-the-air’ interception of GSM 
900/1800/1900 Mhz phone calls and data to meet law enforcement 
surveillance and investigation requirements. The mTrail passive 
interception system works in the stealth mode so that there is no 
dependence on the network operator and so that the target is unaware of 
the interception of its communications.
The mTrail system has the capability to scale from 
interception of 2 channels (carrier frequencies) to 32 channels. mTrail 
can be deployed either in a mobile or fixed mode: in the mobile mode the
 system is able to fit into a briefcase, while in the fixed mode the 
system fits in a rack-mount industrial grade chassis.
Target location identification is supported by using 
signal strength, target numbers, such as IMSI, TIMSI, IMEI or MSI SDN, 
which makes it possible to listen to the conversation on so-called 
“lawfully intercepted” calls in near real-time, as well as to store all 
calls. Additionally, mTrail supports the interception of targeted calls 
from pre-defined suspect lists and the monitoring of SMS and protocol 
information. Highlights: mTrail (1) Designed for passive interception of GSM communications, (2) Intercepts Voice and SMS “off-the-air”, (3)  Detects the location of the target, (4) Can be deployed as a fixed unit or mounted in a surveillance van, (5) No support required from GSM operator (http://www.wikileaks.org/spyfiles/docs/CLEARTRAIL-2011-Intemonisuit-en.pdf)",ComTrail: Speaker Recognition (http://www.wikileaks.org/spyfiles/docs/CLEARTRAIL-2011-Intemonisuit-en.pdf),,ComTrail: Target Location (http://www.wikileaks.org/spyfiles/docs/CLEARTRAIL-2011-Intemonisuit-en.pdf),"ComTrail: Instant Analysis across thousands of Terabytes. xTrail can be integrated with link analysis tools and can export data in
 a digital format which can allegedly be presented in court as evidence. (http://www.wikileaks.org/spyfiles/docs/CLEARTRAIL-2011-Intemonisuit-en.pdf)",,,,"Law enforcement agencies, intelligence agencies, police stations",ETSI & CALEA regulations,,N/A,"9, 8, 10, 4, 5, 7",4,,ClearTrail deploys spyware into target´s machine and possibly aids the Central Monitoring System (CMS) and/or state Internet Monitoring Systems (based on its solutions). 
Kommlabs Dezign,http://www.kommlabs.com/index.asp,1995 (as Voxtron Dezign Lab Pvt. Ltd.),,Mr Karanvir Singh,"Noida, India","371 Beach Road
#02-01C 
Keypoint
Singapore (199597)","A - 46, Sector - 4
NOIDA - 201301
India.","info@kommlabs.com

"," 

00 91 120 409 00 00",@kommlabs,"ISS World Asia Pacific, Malaysia 
December 8-10, 2010, ISS World, Singapore 
December 9-11, 2009, ISS World, Prague 
June 3-5, 2009, ISS World, Prague 
October1-3, 2008, ISS World APAC, Singapore 
June 9-11, 2008, ISS World EMEA, Dubai, UAE 
February 26-28, 2008, ISS World Asia 2013","VerbaPROBE, VerbaNET, ReveaLinx (for Intelligence Agencies), Tactical (for Intelligence Agencies), VerbaCENTRE, ReveaLinx (for LEAs), Tactical (for LEAs), VerbaGATE, VerbaNET (for service providers), Tactical (for service providers).  ","VerbaPROBE: Mass intercept solution (http://www.kommlabs.com/products-verbaprobe.asp), VerbaNET (for intelligence agencies): Internet Interception Solution (http://www.kommlabs.com/products-verbanet.asp), VerbaCENTRE: Unified Monitoring Centre (http://www.kommlabs.com/products-verbacentre.asp), VerbaGATE: Lawful Interception Gateway and Data Retention Solution (http://www.kommlabs.com/products-verbagate.asp), VerbaNET (for service providers): Internet Interception Solution (http://www.kommlabs.com/company.asp) ","ReveaLinx: Data Mining (http://www.kommlabs.com/company.asp), VerbaCENTRE: Seamless integration with ReveaLINX for data mining and interactive visual link analysis (http://www.kommlabs.com/products-verbacentre.asp) A data mining tool that focuses on relationships between
                      entities in very large data spaces and exposes hidden
                      links and networks. Looks at ‘real-world’ relationships such as
                      individuals, addresses, phone numbers, bank accounts and
                      their transactions (e.g. makes a phone call, transfers
                      funds between accounts, sends an E-mail); in fact anything
                      that connects two things within the data set. Lightning fast analytical algorithms with unique
                      visualization to enable an analyst to interactively
                      discover and explore networks of relationships. Scales from single source data sets to very large (20 million plus), multi-source database systems. There is no prescribed data format. Data can be in Text,
                      CSV, SQL, Oracle or any other readable format. (http://www.kommlabs.com/products-revealinx.asp)","VerbaCENTRE: Unique Vocal Risk Classification detects cognitive and emotional stress in voice calls and flags them! (http://www.kommlabs.com/products-verbacentre.asp)
VerbaGATE: Unified platform to fulfill Communication Service
                      Providers’ compliance for Lawful Interception and Data
                      Retention. Centralized target provisioning and warrant
                      administration for all LEAs. Unified platform to support heterogeneous networks (http://www.kommlabs.com/products-verbagate.asp)","ReveaLinx (for intelligence agencies and law enforcement agencies): Speaker ID (http://www.kommlabs.com/company.asp), VerbaCENTRE: Advanced Speech capability, such as Speaker ID, Language Recognition and Gender Identification (http://www.kommlabs.com/products-verbacentre.asp)",,"ReveaLinx (for intelligence agencies and LEAs): GIS location (http://www.kommlabs.com/company.asp), VerbaCENTRE: GIS location tracking displays real time location of targets and geo-fencing etc. (http://www.kommlabs.com/products-verbacentre.asp)",ReveaLinx: Visual Analytics (http://www.kommlabs.com/company.asp),,Y,VerbaCENTRE: Biometric Fingerprint Identification for system users (https://www.documentcloud.org/documents/810562-908-kommlabs-dezign-product-description-verba.html),"Law enforcement agencies, Intelligence Agencies, Communications Service Providers, Indian police","Compliant to Global Standards like ETSI, CALEA, SORM and country specific standards","ISO 9001:2008 & ISO 27001:2005 Certified
",N/A,"9, 8, 10, 4, 7, 1","4, 8, -",Kommlabs news: http://www.kommlabs.com/news.asp,"Kommlabs possibly aids the Central Monitoring System (CMS) and/or state Internet Monitoring Systems in India (VerbaCENTRE: Scalable distributed architecture provides Central Monitoring Centres and Remote Monitoring Centres for countrywide deployment, http://www.kommlabs.com/products-verbacentre.asp). VerbaCENTRE brochure: https://www.documentcloud.org/documents/810562-908-kommlabs-dezign-product-description-verba.html"
Shield Security,"http://shieldsecurity.org/flash.php, http://www.justdial.com/Hyderabad/Shield-Security-Services-%3Cnear%3E-North-Lalaguda-Lalaguda/040PXX40-XX40-090731171812-M7N6_TmF0aW9uYWwgU2VhcmNoIFNoaWVsZCBTZWN1cml0eSBTZXJ2aWNlcw==_BZDET",,,ADIL HADI,"London, UK","2nd floor, 145-157, St. John Street, London, UK","H:no 10-5-79/4/3,Ground Floor, North Lalaguda, Tukaram Gate, Lalaguda, Hyderabad - 500017",p.adams@shieldsecurity.org,00 91 9848474847/ 9010863009,,,"Covert Counter Terrorist Equipment, Interception and Monitoring, Broadband and Cellular Jamming, Covert Video and Audio Systems, Body Wires, Remote Monitoring and Surveillance, Hard Wired Listening Devices, Tracking Transmitters, GPS Tracking Systems: http://shieldsecurity.org/flash.php","Interception and Monitoring solutions, Broadband Jamming, Remote Monitoring and Surveillance",,"Interception and Monitoring solutions, Cellular Jamming, Remote monitoring and surveillance, Telephone transmitters",,,GPS Tracking Systems,,,,,"National intelligence, national security agencies, federal police, drug enforcement agencies, SWAT, SAR, HRT, revenue agents, internal affairs, criminal investigation departments, diplomatic security, defense departments, justice departments, state and federal insurance investigators, immigration agencies, postal inspectors, border patrol, ministries of interior, police departments, sheriffs departments, organized crime units, district attorney and and prosecutors, treasury departments, embassies and consulates, government research facilities, and all branches of military organisations. ",,,End of page: http://shieldsecurity.org/flash.php,"9, 10, -",4,,
Shoghi Communications,http://www.shoghicom.com/,2008,,,"Shimla, India",,"74, Electronic Complex, Industrial Area, Shoghi, 
Shimla - 173219 (HP)"," sales@shoghicom.com 

",,https://twitter.com/Aprodex/status/117198138762211328,,"Passive A5/1 GSM Monitoring System, Semi Active GSM Monitoring, CDMA Monitoring, A5/1 Decryptor, Switch Based E1 Monitoring, Voice & Fax Logging and Analysis, Wi-Fi Interception, GSM Backhaul Monitoring Systems, Microwave Monitoring Systems, HF-VHF-UHF Monitoring System, Signal Classification and Analysis System, Satellite Geo-location, Satellite Carrier Monitoring, DCME Analysis, Inmarsat Monitoring, ISAT Monitoring, Iridium Monitoring, C/Ku-Band Satellite Link Monitoring, VSAT Monitoring, Thuraya Monitoring, Fixed Wing UAV, Rotary Wing UAV, Aerostat, ISAT Monitoring System (SCL-5032),  Passive A5/1 GSM Monitoring System (SCL-5020), A5/1 Decryptor (SCL-5021): http://www.shoghicom.com/products.php   ",,,"(1) Passive A5/1 GSM Monitoring System: The SCL-5020 is a multi-channel off the air 
passive GSM Monitoring system intended for Intelligence and Government 
Organizations to ensure interception and deciphering of voice & SMS 
communications from GSM-850/900/1800/1900 cellular network standards. 
The system can be either operated as stationary or in movable scenarios (http://www.shoghicom.com/passive-gsm-monitoring.php), (2) Semi Active GSM Monitoring: The system is designed and developed as a Semi Active OFF-THE-AIR GSM 
Monitoring System. The SCL 5020SE has universal operating capability. 
This system can be used to intercept communications from any GSM service
 providers in the world irrespective of the type of encryption being 
used. System supports decryption of both A5/1 and A5/2 encryption 
algorithms in real time (http://www.shoghicom.com/semi-active-gsm-monitor.php), (3) CDMA Monitoring system (SCL-5020C): The SCL-5020C is a Passive multi-channel tunable CDMA Monitoring system 
designed to  Monitor the voice conversation, Sort Text Message and 
service channel information automatically form the CDMA (IS-95А, IS-95B 
and CDMA 2000-1x) network. System  operates in 450MHz, 850MHz & 
1900MHz CDMA band (http://www.shoghicom.com/cdma-monitoring.php), (4) A5/1 Decryptor: The A5.1 decryptor is used to decrypt GSM communications which are 
encrypted using the GSM A5.1 encryption standard. This equipment is used
 in conjunction with the Semi-Active  or the Passive GSM monitoring 
system. The system is capable of real-time decryption of A5.1 encrypted 
GSM communications.(5) Voice and Fax Logging and Analysis: Digital Voice Logger / Fax Logger (SCL-2050) is a PC based Multi- 
Channel Digital Recorder designed to automatically monitor and record 
Telephonic conversation from analog lines, forwarded mobile 
conversations & SMS over mobile phones and speech from HF/VHF/UHF 
radios in different scenario along with CRI (http://www.shoghicom.com/voice-logging-analysis.php), (6)  Switch Based E1 Monitoring: The Lawful Interception System offered from Shoghi Communication
 is designed for  law enforcement and  intelligence agencies . The 
offered system is a turnkey solution for the monitoring, processing, 
decoding, distribution and presentation of intercepted data of targets 
from circuit switched networks. (E.g. GSM/CDMA/PSTN) as well as for 
packet switched networks (e.g. GPRS, EDGE, UMTS and High Speed IP 
backbones) - http://www.shoghicom.com/e1-monitoring.php, (7)  ISAT Monitoring System (SCL-5032): ISAT Monitoring System is designed for Intelligence and Government 
Organizations to monitor Voice, SMS, Fax and DATA from Isat phone 
network. System is capable of Demodulating, Decoding and Deciphering 
ISAT Phone traffic to provide decoded communication sessions along with 
Call Related Information (http://www.shoghicom.com/isat-monitoring.php)",,,,,,"Fixed Wing UAV: Remote surveillance system ""SCL-RSS"" is fixed wing UAV designed for 
monitoring ground objects from air. SCL-RSS can do detection and 
tracking of buildings and other objects like transportation means, 
military equipments, roads, bridges, individuals or groups of people (http://www.shoghicom.com/fixed-wing-uav.php), Rotary Wing UAV (SCL-RWU): SCL-RWU is rotary wing UAV designed for monitoring ground objects from 
air. SCL-RWU can be deployed in military operations for various 
scenarios such as detection and tracking of objects like transportation 
means, military equipment, roads, bridges, individuals or groups of 
people, surveillance and reconnaissance mission etc (http://www.shoghicom.com/unmanned-air-vehicle.php)",,"Indian Government, Ministry of Defense and related agencies (not for private or commercial usage). ",,ISO 9001: 2008 certified,http://www.shoghicom.com/privacy-policy.php,"10, 2, -",4,Shoghi media coverage: http://www.shoghicom.com/Media-Coverage.php,"Shoghi produces and sells satellite and radio monitoring solutions, as well as signal analysis solutions: http://www.shoghicom.com/ISR.php. Semi-active GSM Monitoring System brochure: http://wikileaks.org/spyfiles/files/0/160_SHOGI-2006-semiactive_gsm_monitoring.pdf"
Amsan Technology,http://amsantechnology.com/,2005,,,"Bangalore, India",,"#215A,  1st Main Road  
S.R. Nagar, Bangalore -560027",amsantechnology@gmail.com,"080 41316409,  9900601788 (Contact person: Santhosh Mishra)",,,"CCTV Cameras, Wireless Systems Camera, IP Cameras, Access Control Systems, Biometric Machines: http://amsantechnology.com/?page_id=15",,,,,,,,"CCTV Cameras, Wireless Systems Camera, IP Cameras: http://amsantechnology.com/?page_id=15",," Access Control 
Systems, Biometric Machines: http://amsantechnology.com/?page_id=15",15000+ customers addressed worldwide and across varied industries (http://amsantechnology.com/),,,N/A,"6, 1, -",2,,
Sterling Cctv Solutions,http://sterlingcctvsolutions.com/,,,,"Bangalore, India",,"Rajaji Nagar
Bangalore , India","info@sterlingcctvsolutions.com, vinod@sterlingcctvsolutions.com,
sterlingcctvsolutions@gmail.com"," 0091 7411222222, 08067935861",,,Wide range of (CCTV) cameras and access control systems: http://sterlingcctvsolutions.com/product.html,,,,,,,,Wide range of CCTV cameras: http://sterlingcctvsolutions.com/product.html,,Biomatrix Systems (biometric access control system): http://sterlingcctvsolutions.com/product.html,List of clients: http://sterlingcctvsolutions.com/clients-projects.html,,,N/A,"6, 1, -",2,,
Aimansys Technologies,http://www.aimansystechnologies.in/,,,,"Bangalore, India",,"No.2, 2nd Floor, Jayswal Business Center,
R.R.Chambers, 11th Main,
Vasanthnagar,
Bangalore - 560052",info@aimansystechnologies.in,"0091 (080) 22202131 / 32, 0091 9620108175",,,CCTV cameras & Biometric Access Control Systems: http://www.aimansystechnologies.in/cctv--surveillance.html,,,,,,,,CCTV cameras: http://www.aimansystechnologies.in/cctv--surveillance.html,,Biometric Access Control Systems: http://www.aimansystechnologies.in/cctv--surveillance.html,List of clients: http://www.aimansystechnologies.in/clients.html,,,N/A,"6, 1, -",2,,
Alliance Security Systems,http://www.alliancesystems.co.in/,,,,"Bangalore, India",,"No.105, Nr Srs Kalyana Mantapa, 4th F Crs, East Of Ngef, Kasturi Nagar, Bangalore - 560043",alliancesecuritysystems@gmail.com,00 91 80 66495027,,,"CCTV cameras, Biometric Access Control Systems, Video Surveillance Systems: http://www.alliancesystems.co.in/products.html",,,,,,,,CCTV cameras and Video Surveillance System: http://www.alliancesystems.co.in/products.html,,Biometric Access Control Systems: http://www.alliancesystems.co.in/products.html,"Banking industry, Police department of                               
various states, Airports, DMRC, Petroleum Companies & various Power Projects. ",,ISO 9001:2000 certified company,N/A,"6, 1, -","2, 4, -",,
R R Infotech,http://www.rrinfotech.org/,,,,"Bangalore, India",,"#750/1, 4TH MAIN,
         9TH CROSS,
         M.C LAYOUT, VIJAYANAGAR
         Bangalore - 560 040",rr.infotech89@gmail.com,"9738881097, 9886606086",,,CCTV cameras & Biometric Access Control Systems: http://www.rrinfotech.org/product.html,,,,,,,,CCTV cameras: http://www.rrinfotech.org/cctv.html,,Biometric Access Control Systems: http://www.rrinfotech.org/securitysystem.html,,,,N/A,"6, 1, -",,,
Navtel Tech Inc,http://www.navtel.in/,,,,"Bangalore, India",,"#55/16, 3rd Main, 5th Cross,
Basaveshwara Layout,
Vijaynagar, Bangalore - 560 040, # 6/25-O, Fatima’s Building,
1st Floor, Thottumugham (PO)
Aluva - 683105, Kerala",contact@navtel.in,"00 91 98456 63707, 00 91 80 2274 8257",,,"Access management solutions, Asset & Vehicle Tracking,  Video Surveillance solutions: http://www.navtel.in/services.html",,,,,,"Global Positioning Systems (GPS), Personnel Tracking: http://www.navtel.in/asset-vehicle-tracking.html, RFID Asset Tracking, Fleet & Vehicle Tracking, 
Vehicle Tracking: http://www.navtel.in/asset-vehicle-tracking.html",,"Wireless Cameras, IP Cameras, PTZ Cameras, Underbody Vehicle Scanners, Integrated Spy Cameras, Thermal Imaging: http://www.navtel.in/video-surveillance.html",,,List of clients: http://www.navtel.in/our-clientele.html,,,N/A,"5, 6, -",2,,
